City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
518,sainte-marie,-20.8968,55.5496,24.07,64,40,4.12,RE,1707167146
519,arecibo,18.4724,-66.7157,31.27,63,99,7.01,PR,1707167146
520,kabinda,-6.1333,24.4833,19.42,94,76,0.77,CD,1707167147
521,barsukovskaya,44.7632,41.8191,3.08,91,92,12.09,RU,1707167147
522,guercif,34.2257,-3.3536,16.0,32,100,0.34,MA,1707167147
523,piacabucu,-10.4056,-36.4344,27.57,75,28,4.56,BR,1707167147
524,narvik,68.4384,17.4272,-5.33,80,89,3.48,NO,1707167147
525,san vicente de canete,-13.0751,-76.3835,26.26,70,11,3.45,PE,1707167147
526,cruzeiro do sul,-29.5128,-51.9853,31.96,70,95,5.34,BR,1707166953
527,motygino,58.1831,94.7592,-8.35,98,100,1.71,RU,1707167148
528,kutum,14.2,24.6667,15.14,17,69,6.41,SD,1707167148
529,ghanzi,-21.5667,21.7833,26.97,34,100,2.19,BW,1707167148
530,nueva guinea,11.6876,-84.4562,31.01,51,2,5.66,NI,1707167148
531,saint joseph,39.7686,-94.8466,13.78,39,0,2.57,US,1707167148
532,kongolo,-5.3833,27.0,21.85,95,100,0.14,CD,1707167148
533,tomatlan,19.9333,-105.25,30.03,31,0,4.22,MX,1707167148
534,alaghsas,17.0187,8.0168,18.22,15,99,10.37,NE,1707167148
535,pingliang,35.5392,106.6861,-3.08,68,100,1.76,CN,1707167149
536,safaga,26.7292,33.9365,16.12,52,0,7.87,EG,1707167149
537,khorugh,37.4897,71.553,-14.54,81,100,0.03,TJ,1707167149
538,ondjiva,-17.0667,15.7333,27.02,78,20,0.0,AO,1707167149
539,kotabumi,-4.8333,104.9,23.75,96,100,1.91,ID,1707167149
540,el granada,37.5027,-122.4694,15.3,78,75,6.69,US,1707167149
541,howard springs,-12.497,131.047,27.95,91,78,2.81,AU,1707167149
542,aquin,18.2833,-73.4,26.24,81,32,7.04,HT,1707167150
543,salinopolis,-0.6136,-47.3561,27.8,79,46,5.28,BR,1707167150
544,kulhudhuffushi,6.6221,73.07,27.56,80,11,5.09,MV,1707167150
545,kalmunai,7.4167,81.8167,25.2,82,78,3.58,LK,1707167150
546,villa del totoral,-30.8167,-63.7167,39.72,23,65,6.84,AR,1707167150
547,kurumkan,54.3,110.3,-19.37,88,89,1.79,RU,1707167150
548,al bawiti,28.3492,28.8659,11.79,54,0,2.5,EG,1707167151
549,andergrove,-21.0833,149.1833,25.36,80,1,1.86,AU,1707167151
550,santa cruz,-17.8,-63.1667,36.03,46,40,5.14,BO,1707167151
551,axim,4.8699,-2.2405,26.84,84,1,3.69,GH,1707167101
552,kalevala,65.2,31.1667,-14.39,95,99,3.58,RU,1707167151
553,naha,26.2125,127.6811,15.95,72,75,5.66,JP,1707167151
554,dhidhdhoo,6.8833,73.1,27.71,81,12,5.06,MV,1707167151
555,maridi,4.9158,29.4742,22.81,42,96,1.72,SS,1707167152
556,jinchang,38.4953,102.1739,-9.27,91,100,1.5,CN,1707167152
557,bandarbeyla,9.4942,50.8122,25.24,78,72,5.73,SO,1707167152
558,brisas de zicatela,15.8369,-97.0419,29.29,65,20,5.14,MX,1707167152
559,ballina,-28.8667,153.5667,26.55,79,91,2.68,AU,1707167152
560,ribadeo,43.5325,-7.0991,10.02,94,100,0.91,ES,1707167152
561,callao,-12.0667,-77.15,30.16,51,0,6.69,PE,1707166906
562,lospalos,-8.5186,127.0025,22.76,95,100,1.11,TL,1707167153
563,beloyarskiy,63.7119,66.6722,-20.56,97,100,2.68,RU,1707167153
564,saldanha,-33.0117,17.9442,21.03,95,49,2.54,ZA,1707167153
565,amalfi,6.9102,-75.0776,21.63,71,98,0.95,CO,1707167153
566,mount pearl,47.5166,-52.7813,0.81,97,100,6.17,CA,1707167153
567,vikasnagar,30.4683,77.775,9.94,77,0,2.18,IN,1707167153
568,lashio,22.9333,97.75,10.14,76,0,0.59,MM,1707167153
569,rouached,36.4577,6.0427,8.5,51,0,2.14,DZ,1707167153
570,hot springs village,34.6655,-93.01,16.93,40,3,0.89,US,1707167154
571,svendborg,55.0598,10.6068,6.03,91,100,11.84,DK,1707167154
572,ulanhot,46.0833,122.0833,-14.33,78,100,1.1,CN,1707167154
573,partille,57.7395,12.1064,0.05,72,0,2.06,SE,1707167154
574,vila velha,-20.3297,-40.2925,28.97,84,20,6.69,BR,1707166865
575,suomussalmi,64.8869,28.9078,-15.01,96,99,3.5,FI,1707167154
576,ugoofaaru,5.6667,73.0,27.66,76,6,5.99,MV,1707167154
577,tucuma,-0.1833,-50.05,27.57,82,35,3.32,BR,1707167154
578,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1707166871
579,hailey,43.5196,-114.3153,3.28,75,40,0.0,US,1707166876
580,bethanie,-26.4833,17.15,28.28,29,7,5.34,NA,1707167155
581,terenozek,45.05,64.9833,-0.49,83,100,4.64,KZ,1707167155
582,syktyvkar,61.6764,50.8099,-20.05,84,75,3.13,RU,1707167155
583,mandalgovi,45.7625,106.2708,-19.3,90,5,2.95,MN,1707167155
584,yarkovo,57.4028,67.0786,0.46,98,100,5.31,RU,1707167155
585,oroqen zizhiqi,50.5667,123.7167,-23.59,98,6,1.57,CN,1707167137
586,serenje,-13.2325,30.2352,17.64,92,12,0.3,ZM,1707167156
587,dumfries,38.5676,-77.328,11.81,41,0,2.57,US,1707166926
588,canutama,-6.5339,-64.3831,29.73,69,71,1.31,BR,1707167156
589,shevchenkove,49.6959,37.1735,-0.77,92,74,3.72,UA,1707167156
590,mapastepec,15.4333,-92.9,32.88,40,0,4.61,MX,1707167156
591,sinop,41.7711,34.8709,6.34,81,72,5.66,TR,1707167156
592,eldorado,-23.7869,-54.2836,34.16,32,85,2.96,BR,1707167156
593,beypore,11.1833,75.8167,23.58,88,20,2.06,IN,1707167156
